transaction_id,sale_date,taxing_state,rate_applied,sale_price,trade_in_value,taxable_base,tax_owed,tax_collected,variance,category
T000040,2025-12-26,AZ,0.081,15482.88,0.0,15482.88,1254.11,1254.14,0.03,clean
T000041,2025-04-25,OH,0.0725,11501.17,3810.39,7690.78,557.58,557.61,0.03,clean
T000042,2025-06-19,AZ,0.081,37809.09,22237.8,15571.29,1261.27,1261.29,0.02,clean
T000043,2025-06-10,NY,0.08,23099.57,0.0,23099.57,1847.97,1847.93,-0.04,clean
T000044,2025-10-03,OH,0.0725,28675.64,0.0,28675.64,2078.98,2078.97,-0.01,clean
T000045,2025-06-10,OH,0.0725,28074.95,15722.5,12352.45,895.55,895.52,-0.03,clean
T000046,2025-08-04,NC,0.03,28113.76,0.0,28113.76,843.41,1124.55,281.14,rate_mismatch
T000047,2025-04-18,PA,0.06,22973.53,0.0,22973.53,1378.41,1378.41,0.0,clean
T000048,2025-03-28,NY,0.08,27961.28,0.0,27961.28,2236.9,2236.88,-0.02,clean
T000049,2025-06-08,PA,0.06,18787.21,3941.0,14846.21,890.77,890.78,0.01,clean
T000050,2025-12-23,TX,0.0625,22103.84,0.0,22103.84,1381.49,1381.46,-0.03,clean
T000051,2025-08-06,PA,0.06,18647.05,0.0,18647.05,1118.82,1118.79,-0.03,clean
T000052,2025-03-10,NC,0.03,32000.21,0.0,32000.21,960.01,960.03,0.02,clean
T000053,2025-09-16,CA,0.0875,22912.82,0.0,22912.82,2004.87,2004.89,0.02,clean
T000054,2025-11-23,GA,0.07,19985.29,0.0,19985.29,1398.97,1398.95,-0.02,clean
T000055,2025-06-21,GA,0.07,20868.94,0.0,20868.94,1460.83,1460.8,-0.03,clean
T000056,2025-07-28,OH,0.0725,21091.85,0.0,21091.85,1529.16,1529.18,0.02,clean
T000057,2025-10-22,NY,0.08,22037.08,7508.11,14528.97,1162.32,1162.32,0.0,clean
T000058,2025-05-20,OH,0.0725,23088.73,7722.07,15366.66,1114.08,1114.05,-0.03,clean
T000059,2025-11-15,TX,0.0625,25088.68,0.0,25088.68,1568.04,1568.04,0.0,clean
T000060,2025-01-26,NC,0.03,19608.66,0.0,19608.66,588.26,588.3,0.04,clean
T000061,2025-08-04,NC,0.03,19431.39,4036.94,15394.45,461.83,461.84,0.01,clean
T000062,2025-01-16,CA,0.0875,38451.69,8003.8,38451.69,3364.52,3364.5,-0.02,clean
T000063,2025-12-25,FL,0.07,19521.03,0.0,19521.03,1366.47,1366.43,-0.04,clean
T000064,2025-06-09,GA,0.07,26000.08,0.0,26000.08,1820.01,1819.99,-0.02,clean
T000065,2025-12-23,FL,0.07,31085.3,0.0,31085.3,2175.97,2175.96,-0.01,clean
T000066,2025-07-09,OH,0.0725,13976.59,0.0,13976.59,1013.3,1013.31,0.01,clean
T000067,2025-08-24,NY,0.08,29217.72,0.0,29217.72,2337.42,2337.43,0.01,clean
T000068,2025-06-15,PA,0.06,33766.47,0.0,33766.47,2025.99,2026.0,0.01,clean
T000069,2025-06-22,GA,0.07,11855.72,0.0,11855.72,829.9,829.93,0.03,clean
T000070,2025-12-26,GA,0.07,34899.08,0.0,34899.08,2442.94,2442.94,0.0,clean
T000071,2025-05-04,TX,0.0625,28773.74,0.0,28773.74,1798.36,1798.34,-0.02,clean
T000072,2025-12-06,OH,0.0725,26129.49,0.0,26129.49,1894.39,1894.37,-0.02,clean
T000073,2025-05-09,IL,0.0725,18927.89,0.0,18927.89,1372.27,1372.27,0.0,clean
T000074,2025-10-29,FL,0.07,40538.23,0.0,40538.23,2837.68,2837.66,-0.02,clean
T000075,2025-12-29,AZ,0.081,25088.92,0.0,25088.92,2032.2,2032.22,0.02,clean
T000076,2025-02-22,PA,0.06,34592.53,0.0,34592.53,2075.55,2421.48,345.93,rate_mismatch
T000077,2025-02-28,TX,0.0625,32696.36,0.0,32696.36,2043.52,2043.5,-0.02,clean
T000078,2025-05-08,NY,0.08,15833.13,0.0,15833.13,1266.65,1266.68,0.03,clean
T000079,2025-06-02,NY,0.08,34091.37,0.0,34091.37,2727.31,2727.35,0.04,clean
T000080,2025-04-17,GA,0.07,27148.2,0.0,27148.2,1900.37,1900.36,-0.01,clean
T000081,2025-12-19,AZ,0.081,26407.89,0.0,26407.89,2139.04,1874.96,-264.08,rate_mismatch
T000082,2025-05-16,GA,0.07,31562.8,0.0,31562.8,2209.4,2209.37,-0.03,clean
T000083,2025-05-17,NY,0.08,32853.52,8751.16,24102.36,1928.19,1928.17,-0.02,clean
T000084,2025-07-26,FL,0.07,38015.55,0.0,38015.55,2661.09,2661.08,-0.01,clean
T000085,2025-05-09,TX,0.0625,11660.33,5477.08,6183.25,386.45,386.41,-0.04,clean
T000086,2025-03-31,PA,0.06,23772.57,0.0,23772.57,1426.35,1426.34,-0.01,clean
T000087,2025-06-14,PA,0.06,28245.41,0.0,28245.41,1694.72,1694.74,0.02,clean
T000088,2025-01-19,OH,0.0725,23460.66,0.0,23460.66,1700.9,1935.5,234.6,rate_mismatch
T000089,2025-07-31,PA,0.06,13298.84,0.0,13298.84,797.93,797.93,0.0,clean
T000090,2025-05-28,NY,0.08,23133.06,0.0,23133.06,1850.64,1850.6,-0.04,clean
T000091,2025-07-28,FL,0.07,14948.55,0.0,14948.55,1046.4,1046.42,0.02,clean
T000092,2025-09-18,PA,0.06,29166.66,0.0,29166.66,1750.0,1749.98,-0.02,clean
T000093,2025-11-03,PA,0.06,24543.05,0.0,24543.05,1472.58,1472.61,0.03,clean
T000094,2025-05-25,PA,0.06,29731.38,0.0,29731.38,1783.88,1783.87,-0.01,clean
T000095,2025-10-06,PA,0.06,21978.37,0.0,21978.37,1318.7,1318.69,-0.01,clean
T000096,2025-08-31,CA,0.0875,29161.72,0.0,29161.72,2551.65,2551.69,0.04,clean
T000097,2025-06-19,IL,0.0725,34469.8,0.0,34469.8,0.0,-0.03,-0.03,clean
T000098,2025-05-16,NC,0.03,21242.91,0.0,21242.91,637.29,637.33,0.04,clean
T000099,2025-11-17,CA,0.0875,29528.37,0.0,29528.37,2583.73,2583.77,0.04,clean
T000100,2025-02-16,CA,0.0875,23052.56,10454.32,23052.56,2017.1,2247.62,230.52,rate_mismatch
T000101,2025-01-29,IL,0.0725,20327.39,0.0,20327.39,1473.74,1473.71,-0.03,clean
T000102,2025-02-10,PA,0.06,26770.29,0.0,26770.29,1606.22,1606.22,0.0,clean
T000103,2025-12-08,CA,0.0875,10206.32,0.0,10206.32,893.05,893.06,0.01,clean
T000104,2025-11-24,AZ,0.081,39315.52,0.0,39315.52,3184.56,3184.53,-0.03,clean
T000105,2025-07-15,TX,0.0625,25913.52,0.0,25913.52,1619.6,1619.61,0.01,clean
T000106,2025-12-18,AZ,0.081,31264.76,0.0,31264.76,2532.45,2532.46,0.01,clean
T000107,2025-11-14,FL,0.07,19394.06,0.0,19394.06,1357.58,1357.58,0.0,clean
T000108,2025-10-24,OH,0.0725,21747.66,12262.44,9485.22,687.68,687.71,0.03,clean
T000109,2025-07-07,IL,0.0725,25018.89,0.0,25018.89,1813.87,1813.84,-0.03,clean
T000110,2025-02-08,NY,0.08,16538.86,0.0,16538.86,1323.11,1323.09,-0.02,clean
T000111,2025-03-05,NY,0.08,23459.87,0.0,23459.87,1876.79,1876.76,-0.03,clean
T000112,2025-04-30,GA,0.07,23792.14,0.0,23792.14,1665.45,1665.47,0.02,clean
T000113,2025-11-29,PA,0.06,22560.3,13051.24,9509.06,570.54,570.51,-0.03,clean
T000114,2025-08-21,IL,0.0725,21863.04,0.0,21863.04,1585.07,1585.1,0.03,clean
T000115,2025-12-02,AZ,0.081,15161.93,0.0,15161.93,1228.12,1228.12,0.0,clean
T000116,2025-05-01,NC,0.03,33908.93,16082.06,17826.87,534.81,534.78,-0.03,clean
T000117,2025-08-21,OH,0.0725,14891.07,6787.31,8103.76,587.52,587.5,-0.02,clean
T000118,2025-10-11,CA,0.0875,18358.93,10058.46,18358.93,1606.41,1606.41,0.0,clean
T000119,2025-03-08,TX,0.0625,25219.29,0.0,25219.29,1576.21,1576.2,-0.01,clean
T000120,2025-03-31,FL,0.07,19724.35,7266.14,12458.21,872.07,872.08,0.01,clean
T000121,2025-08-20,IL,0.0725,24451.68,0.0,24451.68,1772.75,1772.71,-0.04,clean
T000122,2025-09-03,PA,0.06,33600.49,0.0,33600.49,2016.03,2016.0,-0.03,clean
T000123,2025-03-06,NC,0.03,19935.59,0.0,19935.59,598.07,598.07,0.0,clean
T000124,2025-11-06,IL,0.0725,22979.55,0.0,22979.55,1666.02,1666.05,0.03,clean
T000125,2025-07-31,FL,0.07,21250.15,0.0,21250.15,1487.51,1487.5,-0.01,clean
T000126,2025-03-20,FL,0.07,28674.7,0.0,28674.7,2007.23,2007.22,-0.01,clean
T000127,2025-03-08,NC,0.03,25569.91,0.0,25569.91,767.1,767.11,0.01,clean
T000128,2025-08-05,AZ,0.081,34405.02,0.0,34405.02,2786.81,2786.78,-0.03,clean
T000129,2025-09-04,AZ,0.081,18777.7,10105.21,8672.49,702.47,702.47,0.0,clean
T000130,2025-11-15,AZ,0.081,26865.8,0.0,26865.8,2176.13,2176.11,-0.02,clean
T000131,2025-06-23,FL,0.07,21484.44,5527.96,15956.48,1116.95,1116.92,-0.03,clean
T000132,2025-09-29,NC,0.03,18556.46,0.0,18556.46,556.69,556.7,0.01,clean
T000133,2025-02-13,FL,0.07,35036.28,17580.31,17455.97,1221.92,1221.93,0.01,clean
T000134,2025-08-01,OH,0.0725,19895.4,0.0,19895.4,1442.42,1442.42,0.0,clean
T000135,2025-12-08,GA,0.07,20639.67,12255.39,8384.28,586.9,586.92,0.02,clean
T000136,2025-05-29,OH,0.0725,21037.15,10493.45,10543.7,764.42,764.45,0.03,clean
T000137,2025-07-01,TX,0.0625,14110.25,0.0,14110.25,881.89,881.9,0.01,clean
T000138,2025-10-21,OH,0.0725,22486.98,0.0,22486.98,1630.31,1630.35,0.04,clean
T000139,2025-08-24,FL,0.07,33044.0,0.0,33044.0,2313.08,2313.05,-0.03,clean
T000140,2025-06-08,FL,0.07,30292.18,15498.91,14793.27,1035.53,1035.52,-0.01,clean
T000141,2025-11-27,NY,0.08,32453.94,8391.86,24062.08,1924.97,1924.94,-0.03,clean
T000142,2025-11-18,NC,0.03,24251.35,0.0,24251.35,727.54,727.54,0.0,clean
T000143,2025-08-29,TX,0.0625,23212.83,0.0,23212.83,1450.8,1450.8,0.0,clean
T000144,2025-01-30,FL,0.07,21820.49,0.0,21820.49,1527.43,1527.44,0.01,clean
T000145,2025-01-22,NC,0.03,23360.3,0.0,23360.3,700.81,700.77,-0.04,clean
T000146,2025-02-22,NY,0.08,32316.65,0.0,32316.65,2585.33,2585.37,0.04,clean
T000147,2025-09-26,OH,0.0725,24847.05,8675.12,16171.93,1172.46,1334.18,161.72,rate_mismatch
T000148,2025-02-03,AZ,0.081,21068.27,0.0,21068.27,1706.53,1706.54,0.01,clean
T000149,2025-03-18,NC,0.03,21140.83,0.0,21140.83,634.22,634.21,-0.01,clean
T000150,2025-11-01,NC,0.03,29258.9,12393.16,16865.74,505.97,506.01,0.04,clean
T000151,2025-12-17,TX,0.0625,36368.27,17026.98,19341.29,1208.83,1208.82,-0.01,clean
T000152,2025-09-06,AZ,0.081,17972.9,0.0,17972.9,1455.8,1455.82,0.02,clean
T000153,2025-09-27,PA,0.06,12421.9,0.0,12421.9,745.31,745.33,0.02,clean
T000154,2025-03-26,AZ,0.081,29596.32,10232.03,19364.29,1568.51,1568.51,0.0,clean
T000155,2025-06-08,OH,0.0725,39589.15,0.0,39589.15,2870.21,2870.21,0.0,clean
T000156,2025-05-25,CA,0.0875,31258.95,0.0,31258.95,2735.16,2735.14,-0.02,clean
T000157,2025-11-25,FL,0.07,23975.79,0.0,23975.79,1678.31,1738.24,59.93,sourcing_error
T000158,2025-08-19,IL,0.0725,36023.12,13508.27,26023.12,1886.68,1886.67,-0.01,clean
T000159,2025-07-11,TX,0.0625,19051.38,0.0,19051.38,1190.71,1190.72,0.01,clean
T000160,2025-03-16,IL,0.0725,16442.55,0.0,16442.55,1192.08,1192.04,-0.04,clean
T000161,2025-04-21,OH,0.0725,33148.99,0.0,33148.99,2403.3,2403.27,-0.03,clean
T000162,2025-05-03,FL,0.07,22780.0,0.0,22780.0,1594.6,1366.8,-227.8,rate_mismatch
T000163,2025-03-15,CA,0.0875,20283.28,6919.16,20283.28,1774.79,1774.78,-0.01,clean
T000164,2025-09-27,TX,0.0625,25302.63,0.0,25302.63,1581.41,1834.44,253.03,rate_mismatch
T000165,2025-07-11,FL,0.07,19462.58,10031.17,9431.41,660.2,660.16,-0.04,clean
T000166,2025-10-07,IL,0.0725,21242.64,0.0,21242.64,1540.09,1274.56,-265.53,sourcing_error
T000167,2025-08-23,AZ,0.081,12376.94,6391.99,5984.95,484.78,484.78,0.0,clean
T000168,2025-01-19,AZ,0.081,30510.37,10458.64,20051.73,1624.19,1624.18,-0.01,clean
T000169,2025-08-14,IL,0.0725,35530.92,0.0,35530.92,2575.99,2576.01,0.02,clean
T000170,2025-08-06,AZ,0.081,14394.07,0.0,14394.07,1165.92,1165.9,-0.02,clean
T000171,2025-08-17,NC,0.03,26610.63,0.0,26610.63,798.32,798.31,-0.01,clean
T000172,2025-08-11,PA,0.06,19925.59,0.0,19925.59,1195.54,1195.51,-0.03,clean
T000173,2025-01-16,GA,0.07,16599.99,0.0,16599.99,1162.0,1161.99,-0.01,clean
T000174,2025-10-18,PA,0.06,12095.8,4596.03,7499.77,449.99,449.98,-0.01,clean
T000175,2025-11-29,CA,0.0875,20015.04,0.0,20015.04,1751.32,1751.29,-0.03,clean
T000176,2025-05-14,PA,0.06,29129.78,12955.5,16174.28,970.46,970.46,0.0,clean
T000177,2025-08-16,OH,0.0725,43473.67,0.0,43473.67,3151.84,3151.87,0.03,clean
T000178,2025-03-22,NC,0.03,29339.53,0.0,29339.53,880.19,880.21,0.02,clean
T000179,2025-05-02,IL,0.0725,31643.63,13341.23,21643.63,1569.16,2294.16,725.0,tradein_credit_error
T000180,2025-06-08,OH,0.0725,22368.92,0.0,22368.92,1621.75,1845.44,223.69,rate_mismatch
T000181,2025-11-25,CA,0.0875,14198.18,0.0,14198.18,1242.34,1242.38,0.04,clean
T000182,2025-08-10,CA,0.0875,24431.51,0.0,24431.51,2137.76,2137.78,0.02,clean
T000183,2025-06-27,FL,0.07,38314.8,0.0,38314.8,2682.04,2682.02,-0.02,clean
T000184,2025-11-17,CA,0.0875,20524.5,0.0,20524.5,1795.89,1795.9,0.01,clean
T000185,2025-11-06,TX,0.0625,21224.48,0.0,21224.48,1326.53,1326.54,0.01,clean
T000186,2025-11-30,TX,0.0625,18449.82,0.0,18449.82,1153.11,1153.12,0.01,clean
T000187,2025-06-04,AZ,0.081,24023.49,0.0,24023.49,1945.9,2186.14,240.24,rate_mismatch
T000188,2025-08-01,NC,0.03,24050.01,10646.08,13403.93,402.12,402.11,-0.01,clean
T000189,2025-07-09,PA,0.06,24683.7,7323.53,17360.17,1041.61,1215.21,173.6,rate_mismatch
T000190,2025-11-12,OH,0.0725,22747.64,0.0,22747.64,1649.2,1649.2,0.0,clean
T000191,2025-09-13,OH,0.0725,34855.71,0.0,34855.71,2527.04,2527.05,0.01,clean
T000192,2025-01-25,AZ,0.081,13116.63,0.0,13116.63,0.0,0.02,0.02,clean
T000193,2025-07-26,GA,0.07,21767.92,0.0,21767.92,1523.75,1741.43,217.68,rate_mismatch
T000194,2025-10-09,FL,0.07,20037.25,0.0,20037.25,1402.61,1402.63,0.02,clean
T000195,2025-06-23,NY,0.08,25601.93,0.0,25601.93,2048.15,1792.14,-256.01,rate_mismatch
T000196,2025-03-12,CA,0.0875,29388.04,0.0,29388.04,2571.45,2571.48,0.03,clean
T000197,2025-06-13,OH,0.0725,17174.75,0.0,17174.75,1245.17,1245.19,0.02,clean
T000198,2025-06-03,OH,0.0725,23860.79,7933.61,15927.18,1154.72,1154.75,0.03,clean
T000199,2025-11-19,GA,0.07,11715.27,0.0,11715.27,820.07,820.08,0.01,clean
T000200,2025-11-14,TX,0.0625,31150.44,0.0,31150.44,1946.9,2180.53,233.63,sourcing_error
T000201,2025-01-10,GA,0.07,23190.0,0.0,23190.0,1623.3,1623.3,0.0,clean
T000202,2025-02-01,PA,0.06,29176.43,0.0,29176.43,1750.59,1750.59,0.0,clean
T000203,2025-09-30,IL,0.0725,21316.36,0.0,21316.36,1545.44,1545.42,-0.02,clean
T000204,2025-06-02,PA,0.06,31045.41,0.0,31045.41,1862.72,1862.75,0.03,clean
T000205,2025-05-21,OH,0.0725,20209.62,0.0,20209.62,1465.2,1465.18,-0.02,clean
T000206,2025-05-28,PA,0.06,38833.31,22119.6,16713.71,1002.82,1002.85,0.03,clean
T000207,2025-12-23,TX,0.0625,19861.7,9858.48,10003.22,625.2,625.18,-0.02,clean
T000208,2025-02-21,CA,0.0875,22655.41,0.0,22655.41,1982.35,1982.32,-0.03,clean
T000209,2025-12-01,GA,0.07,37564.43,0.0,37564.43,2629.51,2629.54,0.03,clean
T000210,2025-02-15,GA,0.07,27798.44,13773.42,14025.02,981.75,981.78,0.03,clean
T000211,2025-07-23,TX,0.0625,31567.0,15770.91,15796.09,987.26,987.29,0.03,clean
T000212,2025-06-21,PA,0.06,20140.96,0.0,20140.96,1208.46,1208.44,-0.02,clean
T000213,2025-02-27,CA,0.0875,21087.95,0.0,21087.95,1845.2,1845.21,0.01,clean
T000214,2025-04-09,NY,0.08,17534.48,0.0,17534.48,1402.76,1402.73,-0.03,clean
T000215,2025-03-13,OH,0.0725,23912.41,0.0,23912.41,1733.65,1733.64,-0.01,clean
T000216,2025-10-26,TX,0.0625,29643.34,13679.61,15963.73,997.73,997.72,-0.01,clean
T000217,2025-09-15,NC,0.03,36910.7,0.0,36910.7,1107.32,1107.29,-0.03,clean
T000218,2025-03-20,IL,0.0725,23463.68,0.0,23463.68,1701.12,1701.15,0.03,clean
T000219,2025-05-07,PA,0.06,28506.7,0.0,28506.7,1710.4,1425.34,-285.06,rate_mismatch
T000220,2025-02-01,IL,0.0725,32928.82,0.0,32928.82,2387.34,2387.34,0.0,clean
T000221,2025-12-15,IL,0.0725,18314.94,0.0,18314.94,1327.83,1327.83,0.0,clean
T000222,2025-08-22,AZ,0.081,25735.74,0.0,25735.74,0.0,0.01,0.01,clean
T000223,2025-01-24,TX,0.0625,22854.27,0.0,22854.27,1428.39,1428.35,-0.04,clean
T000224,2025-07-29,NC,0.03,17655.59,8061.72,9593.87,287.82,287.85,0.03,clean
T000225,2025-07-12,OH,0.0725,14447.44,0.0,14447.44,1047.44,1047.44,0.0,clean
T000226,2025-04-25,NY,0.08,33143.91,0.0,33143.91,2651.51,2651.49,-0.02,clean
T000227,2025-06-27,PA,0.06,16963.98,9331.6,7632.38,457.94,381.62,-76.32,rate_mismatch
T000228,2025-08-17,TX,0.0625,26499.05,0.0,26499.05,1656.19,1656.21,0.02,clean
T000229,2025-01-29,NY,0.08,16519.99,0.0,16519.99,1321.6,1321.63,0.03,clean
T000230,2025-05-02,AZ,0.081,20502.56,9514.93,10987.63,890.0,890.03,0.03,clean
T000231,2025-03-31,NC,0.03,27159.6,0.0,27159.6,814.79,814.78,-0.01,clean
T000232,2025-08-02,IL,0.0725,22559.6,0.0,22559.6,1635.57,1635.6,0.03,clean
T000233,2025-03-15,OH,0.0725,32143.7,0.0,32143.7,2330.42,2330.4,-0.02,clean
T000234,2025-06-19,NY,0.08,27660.64,0.0,27660.64,2212.85,2212.86,0.01,clean
T000235,2025-01-21,GA,0.07,34629.42,17476.73,17152.69,1200.69,1200.67,-0.02,clean
T000236,2025-01-08,GA,0.07,18474.56,9174.28,9300.28,651.02,651.01,-0.01,clean
T000237,2025-05-25,AZ,0.081,22042.28,0.0,22042.28,1785.42,1785.39,-0.03,clean
T000238,2025-08-29,NC,0.03,30757.33,0.0,30757.33,922.72,922.74,0.02,clean
T000239,2025-01-09,OH,0.0725,19622.43,0.0,19622.43,1422.63,1422.62,-0.01,clean
T000240,2025-05-06,AZ,0.081,24357.94,0.0,24357.94,1972.99,1972.99,0.0,clean
T000241,2025-03-28,IL,0.0725,29919.85,0.0,29919.85,2169.19,2169.23,0.04,clean
T000242,2025-01-31,TX,0.0625,24872.32,0.0,24872.32,0.0,0.02,0.02,clean
T000243,2025-01-05,NY,0.08,18644.1,0.0,18644.1,1491.53,1677.97,186.44,rate_mismatch
T000244,2025-01-07,AZ,0.081,10943.49,0.0,10943.49,886.42,886.41,-0.01,clean
T000245,2025-04-02,IL,0.0725,15445.44,4009.0,11436.44,829.14,829.13,-0.01,clean
T000246,2025-07-11,GA,0.07,39114.63,0.0,39114.63,2738.02,2738.03,0.01,clean
T000247,2025-11-29,TX,0.0625,30696.42,10796.1,19900.32,0.0,0.01,0.01,clean
T000248,2025-06-19,IL,0.0725,25778.76,0.0,25778.76,1868.96,1868.98,0.02,clean
T000249,2025-10-18,TX,0.0625,23873.02,5484.57,18388.45,1149.28,1149.32,0.04,clean
T000250,2025-10-28,NC,0.03,16642.41,0.0,16642.41,499.27,499.3,0.03,clean
T000251,2025-12-13,FL,0.07,35616.15,0.0,35616.15,2493.13,2493.1,-0.03,clean
T000252,2025-04-29,OH,0.0725,33283.01,0.0,33283.01,0.0,-0.01,-0.01,clean
T000253,2025-07-12,FL,0.07,23011.43,0.0,23011.43,1610.8,1610.77,-0.03,clean
T000254,2025-05-18,OH,0.0725,16937.92,0.0,16937.92,1228.0,1228.04,0.04,clean
T000255,2025-08-16,CA,0.0875,21654.2,0.0,21654.2,1894.74,1894.73,-0.01,clean
T000256,2025-01-14,NC,0.03,14813.41,0.0,14813.41,444.4,444.39,-0.01,clean
T000257,2025-02-13,NY,0.08,29697.78,0.0,29697.78,2375.82,2078.84,-296.98,sourcing_error
T000258,2025-05-18,OH,0.0725,20489.44,0.0,20489.44,1485.48,1485.45,-0.03,clean
T000259,2025-05-09,NY,0.08,38110.38,0.0,38110.38,3048.83,3048.79,-0.04,clean
T000260,2025-07-22,IL,0.0725,21118.25,0.0,21118.25,1531.07,1531.08,0.01,clean
T000261,2025-11-01,IL,0.0725,16397.17,0.0,16397.17,1188.79,1188.78,-0.01,clean
T000262,2025-12-22,PA,0.06,27325.16,0.0,27325.16,1639.51,1639.48,-0.03,clean
T000263,2025-10-16,IL,0.0725,18173.32,0.0,18173.32,1317.57,1317.59,0.02,clean
T000264,2025-08-13,OH,0.0725,31878.66,0.0,31878.66,2311.2,2311.18,-0.02,clean
T000265,2025-12-04,PA,0.06,16935.67,0.0,16935.67,1016.14,1016.17,0.03,clean
T000266,2025-12-21,FL,0.07,22750.82,13363.18,9387.64,657.13,657.12,-0.01,clean
T000267,2025-11-28,OH,0.0725,26844.81,0.0,26844.81,1946.25,1946.21,-0.04,clean
T000268,2025-05-13,NY,0.08,18723.64,0.0,18723.64,1497.89,1497.91,0.02,clean
T000269,2025-10-29,AZ,0.081,28769.23,17235.1,11534.13,934.26,2330.31,1396.05,tradein_credit_error
T000270,2025-03-14,PA,0.06,21432.58,0.0,21432.58,1285.95,1285.97,0.02,clean
T000271,2025-06-13,NC,0.03,13898.84,6731.37,7167.47,215.02,215.05,0.03,clean
T000272,2025-05-05,OH,0.0725,24704.95,0.0,24704.95,1791.11,1791.08,-0.03,clean
T000273,2025-11-24,IL,0.0725,27922.79,0.0,27922.79,2024.4,1745.17,-279.23,rate_mismatch
T000274,2025-04-16,FL,0.07,20007.61,0.0,20007.61,1400.53,1400.53,0.0,clean
T000275,2025-05-15,PA,0.06,28259.84,0.0,28259.84,1695.59,1695.62,0.03,clean
T000276,2025-11-13,FL,0.07,17453.53,0.0,17453.53,1221.75,1396.28,174.53,sourcing_error
